school_name,address,mascot,colors,f2_colors
Alpharetta High School,"3595 Webb Bridge Road Alpharetta, GA 30005",Raiders,"Black, Cardinal  & Silver","black, cardinal"
Carrollton High School,"201 Trojan Drive Carrollton, GA 30117",Trojans,Black & Old Gold,"black, old gold"
Chapel Hill High School,"4899 Chapel Hill Road Douglasville, GA 30135",Panthers,Black & Purple,"black, purple"
Flowery Branch High School,"4450 Hog Mountain Road Flowery Branch, GA 30542",Falcons,"Black, Red & White","black, red"
North Gwinnett High School,"20 Level Creek Road, NE Suwanee, GA 30024",Bulldogs,"Black, Red & White","black, red"
Stephenson High School,"701 Stephenson Road Stone Mountain, GA 30087-4616",Jaguars,Black & Royal Blue,"black, royal blue"
Chestatee High School,"3005 Sardis Road Gainesville, GA 30506-2232",War Eagles,"Black, Silver & Maroon","black, silver"
East Paulding High School,"3320 East Paulding Drive Dallas, GA 30157-4552",Raiders,"Black, Silver & White","black, silver"
Houston County High School,"920 Highway 96 Warner Robins, GA 31088",Bears,"Black, Silver & White","black, silver"
North Forsyth High School,"3635 Coal Mountain Drive Cumming, GA 30028-3279",Raiders,"Black, Silver & Purple","black, silver"
Ridgeland High School,"2478 Happy Valley Road Rossville, GA 30741-6009",Panthers,Black & Silver,"black, silver"
Riverdale High School,"160 Roberts Drive Riverdale, GA 30274",Raiders,Black & Silver,"black, silver"
Savannah Arts Academy,"500 Washington Avenue Savannah, GA 31405",Panthers,"Black, Silver & Hot Pink","black, silver"
Shiloh High School,"4210 Shiloh Road Snellville, GA 30039",Generals,Black & Silver,"black, silver"
Upson-Lee High School,"268 Knight Trail Thomaston, GA 30286",Knights,"Black, silver, purple","black, silver"
Calhoun High School,"355 South River Street Calhoun, GA 30701",Yellow Jackets,Black & Vegas Gold,"black, vegas gold"
McDonough High School,"155 Postmaster Drive McDonough, GA 30253",Warhawks,"Black, Vegas Gold, & White","black, vegas gold"
Liberty County High School,"3216 East Oglethorpe Hwy Hinesville, GA 31313",Panthers,Black & Vegas Gold,"black, vegas gold"
Pepperell High School,"3 Dragon Drive Lindale, GA 30147-1252",Dragons,"Black, Vegas Gold & White","black, vegas gold"
Sprayberry High School,"2525 Sandy Plains Road Marietta, GA 30066",Yellow Jackets,Black & Vegas Gold,"black, vegas gold"
Twiggs County High School,"375 Watson Drive Jeffersonville, Georgia 31044",Cobras,Black & Vegas Gold,"black, vegas gold"
Wayne County High School,"One Jacket Drive Jesup, GA 31545",Yellow Jackets,Black & Vegas Gold,"black, vegas gold"
Burke County High School,"1057 Burke Veterans Parkway Waynesboro, GA 30830",Bears,"Black, White & Royal Blue","black, white"
Coosa High School,"4454 Alabama Hwy Rome, GA 30165",Eagles,"Black, White & Silver","black, white"
Telfair County High School,"458 South Third Avenue McRae, GA 31055",Trojans,"Black, White & Columbia Blue","black, white"
Washington County High School,"420 Riddleville Road P.O. Box 1057 Sandersville, GA 31082",Golden Hawks,"Black, White & Gold","black, white"
Seckinger High School,"3655 Sardis Church Road Buford, GA 30519",Jaguars,"Blue, Black, Gray","blue, black"
Fannin County High School,"360 Rebel Circle Blue Ridge, GA 30513",Rebels,Blue & Gray,"blue, gray"
Haralson County High School,"1655 GA Highway 120 Tallapoosa, GA 30176",Rebels,Blue & Gray,"blue, gray"
South Gwinnett High School,"2288 East Main Street Snellville, GA 30078",Comets,Blue & Gray,"blue, gray"
Statesboro STEAM Academy,"1718 Northside Drive E. Statesboro, GA 30458",Dragons,"Blue, Gray & Orange","blue, gray"
Creekview High School,"1550 Owens Store Road Canton, GA 30115",Grizzlies,Blue & Green,"blue, green"
Johnson High School,"3012 Sunset Boulevard Savannah, GA 31404",Atom Smashers,Blue & Orange,"blue, orange"
Northwest Whitfield High School,"1651 Tunnel Hill-Varnell Road Tunnel Hill, GA 30755",Bruins,Blue & Orange,"blue, orange"
Riverwood High School,"5900 Raider Drive Sandy Springs, GA 30328-4798",Raiders,"Blue, Red & White","blue, red"
Armuchee High School,"4203 Martha Berry Highway, NW Rome, GA 30165",Indians,"Blue, Silver & White","blue, silver"
Gordon Central High School,"335 Warrior Path Calhoun, GA 30701",Warriors,"Blue, Silver & White","blue, silver"
Habersham Central High School,"2059 State Highway 197 S. Mt. Airy, GA 30563",Raiders,"Blue, Silver & Orange","blue, silver"
Pierce County High School,"4850 County Farm Rd Blackshear, GA 31516",Bears,Blue & Silver,"blue, silver"
Westlake High School,"2400 Union Road, SW Atlanta, GA 30331",Lions,"Blue, Silver & White","blue, silver"
Utopian Academy for the Arts High School,"2299 Old Rex Morrow Road Morrow, GA 30260",Eagles,"Burgundy, Black, Silver","burgundy, black"
New Hampstead High School,"2451 Little Neck Road Savannah, GA 31302",Phoenix,Burgundy & Gold,"burgundy, gold"
Howard High School,"6400 Forsyth Road Macon, GA 31210",Huskies,"Cardinal, Black & Silver","cardinal, black"
Dooly County High School,"715 North 3rd Street Vienna, GA 31092",Bobcats,Cardinal & Gold,"cardinal, gold"
Lassiter High School,"2601 Shallowford Road Marietta, GA 30066-3038",Trojans,Cardinal & Gold,"cardinal, gold"
Midtown High School,"929 Charles Allen Drive NE Atlanta, GA 30309",Knights,Cardinal & Gray,"cardinal, gray"
Woodland High School,"800 Old Alabama Road Cartersville, GA 30121",Wildcats,"Cardinal, Navy & Silver","cardinal, navy"
South Effingham High School,"1220 Noel C. Conaway Road Guyton, GA 31312",Mustangs,Cardinal & Silver,"cardinal, silver"
Whitewater High School,"100 Wildcat Way Fayetteville, GA 30215-7823",Wildcats,"Cardinal, Silver & Black","cardinal, silver"
Creekside High School,"7405 Herndon Road Fairburn, GA 30213",Seminoles,Cardinal & Vegas Gold,"cardinal, vegas gold"
Cross Creek High School,"3855 Old Waynesboro Road Augusta, Georgia 30906",RazorBacks,Cardinal & Vegas Gold,"cardinal, vegas gold"
Hebron Christian Academy,"775 Dacula Road Dacula, GA 30019",Lions,"Cardinal, Vegas Gold & White","cardinal, vegas gold"
Mill Creek High School,"4400 Braselton Hwy Hoschton, GA 30548",Hawks,"Cardinal, Vegas Gold & Navy","cardinal, vegas gold"
