school_name,address,mascot,colors
Academy for Classical Education,"5665 New Forsyth Road Macon, GA 31210",Gryphon,Royal Blue & Emerald Green
Adairsville High School,"519 Old Highway 41, NW Adairsville, GA 30103",Tigers,"Green, White & Vegas Gold"
Alcovy High School,"14567 Highway 36 Covington, GA 30014",Tigers,Black & Safety Gold
Alexander High School,"6500 Alexander Parkway Douglasville, GA 30135-3596",Cougars,"University Red, Black, & Silver"
Allatoona High School,"3300 Dallas Acworth Hwy Acworth, GA 30101",Buccaneers,"Red, Black & Silver"
Alpharetta High School,"3595 Webb Bridge Road Alpharetta, GA 30005",Raiders,"Black, Cardinal  & Silver"
Apalachee High School,"940 Haymon Morris Road Winder, GA 30680",Wildcats,Navy & Gold
Appling County High School,"482 Blackshear Hwy Baxley, GA 31513",Pirates,"Red, White & Black"
Aquinas High School,"1920 Highland Avenue Augusta, GA 30904-5305",Fightin' Irish,Forest Green & Vegas Gold
Arabia Mountain High School,"6610 Browns Mill Road Stonecrest, GA 30038",Rams,"Winter Green, White & Navy"
Archer High School,"2255 New Hope Road Lawrenceville, GA 30045-6560",Tigers,"Red, Silver & White"
Armuchee High School,"4203 Martha Berry Highway, NW Rome, GA 30165",Indians,"Blue, Silver & White"
Athens Academy,"1281 Spartan Lane Athens, GA 30606",Spartans,Forest Green & White
Atkinson County High School,"145 Rebel Lane Pearson, GA 31642-9225",Rebels,"Red, White & Gray"
Atlanta Classical Academy,"3260 Northside Drive, NW Atlanta, GA 30305",Cavaliers,"Navy, Light Blue & White"
Atlanta International School,"2890 North Fulton Drive Atlanta, GA 30305-3155",Eagles,"Royal Blue, White, Black"
B.E.S.T. Academy,"1190 Northwest Drive, NW Atlanta, GA 30318",Eagles,Navy & Old Gold
Bacon County High School,"1190 Highway US 1 South Alma, GA 31510",Red Raiders,"Red, White & Black"
Baconton Charter School,"260 East Walton Street Baconton, GA 31716",Blazers,Navy & White
Bainbridge High School,"1 Bearcat Boulevard Bainbridge, GA 39819",Bearcats,Purple & Gold
Baker County High School,"260 GA Highway 37, SW Newton, GA 39870-8212",Bears,"Black, Gold & White"
Baldwin High School,"155 Highway 49 West Milledgeville, GA 31061-3600",Braves,"Red, Black & White"
Banks County High School,"1486 A Historic Homer Highway Homer, GA 30547",Leopards,Blue & White
Banneker High School,"6015 Feldwood Road Atlanta, GA 30349-3649",Trojans,Red & Silver
Barrow Arts & Sciences Academy,"1007 Austin Road Winder, GA 30680",Blazers,Royal Blue/Silver
Beach High School,"3001 Hopkins Street Savannah, GA 31405",Bulldogs,Blue & Gold
Ben Franklin Academy,"1585 Clifton Road NE Atlanta, GA 30329",Patriots,Navy & White
Benedictine Military School,"6502 Seawright Drive Savannah, GA 31406",Cadets,Maroon & White
