school_name,address,mascot,colors
Academy for Classical Education,"5665 New Forsyth Road Macon, GA 31210",Gryphon,Royal Blue & Emerald Green
Alcovy High School,"14567 Highway 36 Covington, GA 30014",Tigers,Black & Safety Gold
Alexander High School,"6500 Alexander Parkway Douglasville, GA 30135-3596",Cougars,"University Red, Black, & Silver"
Arabia Mountain High School,"6610 Browns Mill Road Stonecrest, GA 30038",Rams,"Winter Green, White & Navy"
B.E.S.T. Academy,"1190 Northwest Drive, NW Atlanta, GA 30318",Eagles,Navy & Old Gold
Barrow Arts & Sciences Academy,"1007 Austin Road Winder, GA 30680",Blazers,Royal Blue/Silver
Benjamin E. Mays High School,"3450 Benjamin E. Mays Drive Atlanta, GA 30331",Raiders,Carolina Blue & Corn Gold
Berrien High School,"500 East Smith Avenue Nashville, GA 31639",Rebels,Red & Gray
Brantley County High School,"10804 Highway 82 Nahunta, GA 31553-9710",Herons,Navy Blue & Vegas Gold
Carrollton High School,"201 Trojan Drive Carrollton, GA 30117",Trojans,Black & Old Gold
Carver High School,"55 McDonough Blvd SE Atlanta, GA 30315",Panthers,"Maroon, Gray & White"
Centennial High School,"9310 Scott Road Roswell, GA 30076",Knights,"Black, Royal & White"
Central High School,"113 Central Road Carrollton, GA 30116",Lions,Maroon & Gray
Discovery High School,"1335 Old Norcross Road Lawrenceville, GA 30046",Titans,"Navy, Gray & Lime Green"
Drew High School,"6237 Garden Walk Blvd Riverdale, GA 30274",Titans,Navy & Old Gold
Fannin County High School,"360 Rebel Circle Blue Ridge, GA 30513",Rebels,Blue & Gray
Fellowship Christian School,"10965 Woodstock Road Roswell, GA 30075-7502",Paladins,"Navy, Gray & White"
Forest Park High School,"5452 Phillips Drive Forest Park, GA 30297",Panthers,Wine & Gold
Fugees Academy,"4046 Chamblee Tucker Road Atlanta, GA 30340",,Green and Yellow
Furlow Charter School,"63 Valley Drive Americus, GA 31709",Falcons,Navy & Kelley Green
Georgia School for the Deaf,"232 Perry Farm Road SW Cave Spring, GA 30124",Tigers,Kelly Green & Gold
Greenbrier High School,"5114 Riverwood Parkway Evans, GA 30809-6628",Wolf Pack,"Dark Green, Gray & Gold"
